Date,Open,Close,Volume,Percent Change
"Aug 08, 2022",15.57,15.78,"75,988,100",3.137254902
"Aug 05, 2022",15.23,15.3,"68,093,500",-0.455432661
"Aug 04, 2022",15.65,15.37,"85,039,800",-2.039515615
"Aug 03, 2022",15.48,15.69,"95,846,000",3.496042216
"Aug 02, 2022",15.2,15.16,"74,626,800",-1.173402868
"Aug 01, 2022",14.66,15.34,"109,521,700",4.424778761
"Jul 29, 2022",14.11,14.69,"94,551,600",4.928571429
"Jul 28, 2022",13.94,14,"144,096,500",6.141015921
"Jul 27, 2022",12.75,13.19,"64,572,300",5.183413078
"Jul 26, 2022",12.68,12.54,"49,272,300",-2.336448598
"Jul 25, 2022",12.85,12.84,"36,830,500",0.1560062402
"Jul 22, 2022",13.1,12.82,"46,724,700",-1.384615385
"Jul 21, 2022",12.88,13,"66,949,200",2.120974077
"Jul 20, 2022",12.6,12.73,"51,932,200",1.111993646
"Jul 19, 2022",12.22,12.59,"62,650,800",5.267558528
"Jul 18, 2022",12.15,11.96,"45,873,400",0.6734006734
"Jul 15, 2022",11.58,11.88,"49,306,900",4.302019315
"Jul 14, 2022",11.22,11.39,"48,176,300",-1.042571677
"Jul 13, 2022",11.31,11.51,"48,274,300",-0.4325259516
"Jul 12, 2022",11.29,11.56,"58,414,500",2.3914969
"Jul 11, 2022",11.54,11.29,"48,833,600",-2.839931153
"Jul 08, 2022",11.65,11.62,"55,235,600",-0.2575107296
"Jul 07, 2022",11.33,11.65,"63,000,400",5.334538879
"Jul 06, 2022",11.15,11.06,"71,282,900",-1.25
"Jul 05, 2022",11.05,11.2,"87,269,800",-1.060070671
"Jul 01, 2022",11.1,11.32,"54,356,000",1.707097934
"Jun 30, 2022",11.24,11.13,"59,238,200",-3.385416667
"Jun 29, 2022",11.74,11.52,"39,474,200",-2.455546147
"Jun 28, 2022",12.14,11.81,"45,866,900",-1.910299003
"Jun 27, 2022",12.12,12.04,"44,009,900",0.2497918401
"Jun 24, 2022",11.65,12.01,"55,457,600",3.892733564
"Jun 23, 2022",11.5,11.56,"53,655,000",0.6968641115
"Jun 22, 2022",11.26,11.48,"46,098,900",0.1745200698
"Jun 21, 2022",11.55,11.46,"66,283,400",2.048085485
"Jun 17, 2022",11.24,11.23,"80,248,800",-0.1777777778
"Jun 16, 2022",11.8,11.25,"80,380,100",-8.312958435
"Jun 15, 2022",12.22,12.27,"70,393,200",0.5737704918
"Jun 14, 2022",11.99,12.2,"82,369,300",3.302286198
"Jun 13, 2022",12.3,11.81,"80,676,300",-7.37254902
"Jun 10, 2022",13,12.75,"55,644,400",-3.990963855
"Jun 09, 2022",13.51,13.28,"30,468,000",-1.84774575
"Jun 08, 2022",13.63,13.53,"39,441,900",-1.528384279
"Jun 07, 2022",13.26,13.74,"38,940,300",2.080237741
"Jun 06, 2022",13.74,13.46,"37,711,100",-0.2962962963
"Jun 03, 2022",13.63,13.5,"43,625,200",-2.807775378
"Jun 02, 2022",13.64,13.89,"42,979,700",2.509225092
"Jun 01, 2022",13.88,13.55,"50,726,200",-0.9502923977
"May 31, 2022",13.68,13.68,"79,689,900",0.3668378577
"May 27, 2022",13.26,13.63,"54,195,700",3.887195122
"May 26, 2022",12.8,13.12,"45,709,200",3.225806452
"May 25, 2022",12.33,12.71,"41,193,100",2.334943639
"May 24, 2022",12.6,12.42,"51,082,800",-3.19563523
"May 23, 2022",12.64,12.83,"51,929,600",2.64
"May 20, 2022",13.05,12.5,"78,183,400",-2.723735409
"May 19, 2022",12.64,12.85,"58,459,600",0.5477308294
"May 18, 2022",13.25,12.78,"68,362,500",-5.543237251
"May 17, 2022",13.34,13.53,"50,891,400",3.67816092
"May 16, 2022",13.49,13.05,"65,055,400",-3.333333333
"May 13, 2022",12.88,13.5,"78,944,200",8.520900322
"May 12, 2022",12.21,12.44,"113,203,900",-3.039750585
"May 11, 2022",13.2,12.83,"71,644,900",-3.895131086
"May 10, 2022",13.8,13.35,"75,506,700",-0.1495886313
"May 09, 2022",13.85,13.37,"71,242,000",-5.911330049
"May 06, 2022",14.46,14.21,"66,622,200",-2.202339986
